1|123567
2|183654
3|222271
4|231249
5|215885
6|188273
7|157565
8|130903
9|107566
10|88674
11|81873
12|52588
13|43850
14|36245
15|30035
16|25335
17|21533
18|17915
19|15324
20|12916
21|11062
22|9722
23|8155
24|6825
25|6157
26|5403
27|4703
28|4107
29|3723
30|3415
31|2879
32|2650
33|2309
34|2113
35|1930
36|1748
37|1553
38|1407
39|1377
40|1117
41|1069
42|1056
43|954
44|904
45|829
46|10734
47|752
48|684
49|679
50|611
51|557
52|516
53|457
54|442
55|409
56|375
57|376
58|356
59|308
60|289
61|316
62|286
63|270
64|219
65|190
66|210
67|223
68|207
69|176
70|194
71|155
72|148
73|177
74|138
75|135
76|135
77|136
78|132
79|124
80|130
81|105
82|108
83|114
84|86
85|86
86|107
87|106
88|106
89|87
90|83
91|79
92|82
93|57
94|75
95|62
96|76
97|69
98|51
99|50
100|52
101|59
102|57
103|57
104|48
105|61
106|53
107|53
108|40
109|38
110|49
111|45
112|39
113|39
114|37
115|32
116|32
117|22
118|51
119|31
120|33
121|22
122|30
123|27
124|32
125|26
126|26
127|17
128|24
129|22
130|23
131|25
132|11
133|16
134|18
135|12
136|9
137|12
138|16
139|13
140|10
141|21
142|10
143|15
144|17
145|15
146|15
147|9
148|13
149|4
150|15
151|14
152|11
153|9
154|11
155|15
156|7
157|13
158|7
159|9
160|8
161|20
162|13
163|9
164|14
165|5
166|7
167|4
168|10
169|4
170|11
171|12
172|5
173|11
174|11
175|5
176|4
177|3
178|9
179|5
180|17
181|3
182|8
183|12
184|4
185|3
186|2
187|4
188|5
189|8
190|6
191|7
192|3
193|4
194|4
195|7
196|4
197|8
198|5
199|3
200|6
201|4
202|1
203|2
204|2
205|3
206|1
207|3
208|4
209|5
210|7
211|3
212|4
213|6
214|4
215|3
216|1
217|6
218|3
219|5
220|5
221|3
223|4
224|1
225|1
226|4
227|3
228|2
229|4
231|1
232|2
233|1
234|1
236|3
237|4
238|1
239|6
240|2
241|4
242|3
243|3
244|2
245|3
246|2
248|1
249|3
250|2
251|2
252|1
253|2
254|3
255|2
258|1
260|1
261|1
262|3
264|3
265|3
267|2
268|4
269|4
270|4
271|1
275|1
276|2
281|1
282|3
283|2
286|1
287|2
288|2
289|1
292|1
297|2
300|1
303|1
305|1
306|3
308|1
312|2
313|1
316|1
320|1
321|1
323|1
325|3
333|2
337|3
340|1
341|2
343|1
344|1
348|2
352|1
353|2
354|1
355|1
356|1
357|1
362|1
365|1
366|1
373|1
375|1
376|1
381|1
386|1
400|1
401|1
403|1
405|2
406|2
407|2
409|1
413|1
414|1
416|1
420|1
430|1
445|2
446|1
450|1
451|1
453|2
466|1
469|1
519|1
584|1
595|2
596|2
597|1
606|1
611|1
612|1
621|1
623|2
624|1
626|2
737|1
745|1
770|1
